Ano de eleição;Cor/raça;Faixa etária;Gênero;Grau de instrução;Município;Cargo;UF;Região;Turno;Quantidade de candidatos;Quantidade de candidatos eleitos;Quantidade de candidatos para o 2º turno;Quantidade de candidatos não eleitos;Data de carga
2018;Amarela;21 a 24 anos;Feminino;Ensino Médio completo;CEARÁ;Deputado Estadual;CE;NORDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;21 a 24 anos;Masculino;Superior incompleto;DISTRITO FEDERAL;Deputado Distrital;DF;CENTRO-OESTE;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
2018;Amarela;21 a 24 anos;Masculino;Superior incompleto;SÃO PAULO;Deputado Federal;SP;SUDESTE;1;1,0;1,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;25 a 29 anos;Feminino;Ensino Médio completo;MINAS GERAIS;Deputado Estadual;MG;SUDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;25 a 29 anos;Feminino;Ensino Médio completo;MINAS GERAIS;Deputado Federal;MG;SUDESTE;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
2018;Amarela;25 a 29 anos;Masculino;Superior completo;CEARÁ;Deputado Estadual;CE;NORDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;30 a 34 anos;Feminino;Ensino Médio completo;MINAS GERAIS;Deputado Federal;MG;SUDESTE;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
2018;Amarela;30 a 34 anos;Feminino;Ensino Médio incompleto;BAHIA;Deputado Estadual;BA;NORDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;30 a 34 anos;Feminino;Superior completo;MINAS GERAIS;Deputado Estadual;MG;SUDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;30 a 34 anos;Feminino;Superior completo;PARAÍBA;Deputado Estadual;PB;NORDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;30 a 34 anos;Feminino;Superior completo;SÃO PAULO;Deputado Estadual;SP;SUDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;30 a 34 anos;Masculino;Superior completo;MINAS GERAIS;Deputado Estadual;MG;SUDESTE;1;2,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;30 a 34 anos;Masculino;Superior completo;RIO GRANDE DO SUL;Deputado Federal;RS;SUL;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;30 a 34 anos;Masculino;Superior incompleto;GOIÁS;Deputado Estadual;GO;CENTRO-OESTE;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
2018;Amarela;30 a 34 anos;Masculino;Superior incompleto;PERNAMBUCO;Deputado Estadual;PE;NORDESTE;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Feminino;Ensino Médio completo;MATO GROSSO;Deputado Estadual;MT;CENTRO-OESTE;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Feminino;Ensino Médio completo;MINAS GERAIS;Deputado Estadual;MG;SUDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Feminino;Lê e escreve;MINAS GERAIS;Deputado Estadual;MG;SUDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Feminino;Superior completo;DISTRITO FEDERAL;Deputado Distrital;DF;CENTRO-OESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Feminino;Superior completo;MATO GROSSO;2º Suplente;MT;CENTRO-OESTE;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Feminino;Superior completo;MATO GROSSO;Deputado Federal;MT;CENTRO-OESTE;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Feminino;Superior completo;SANTA CATARINA;Deputado Estadual;SC;SUL;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Ensino Médio completo;GOIÁS;Deputado Estadual;GO;CENTRO-OESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Ensino Médio completo;MATO GROSSO;Deputado Estadual;MT;CENTRO-OESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Ensino Médio completo;MINAS GERAIS;Deputado Estadual;MG;SUDESTE;1;2,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Ensino Médio completo;PIAUÍ;Deputado Federal;PI;NORDESTE;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Ensino Médio incompleto;MATO GROSSO;Deputado Estadual;MT;CENTRO-OESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Superior completo;AMAPÁ;Deputado Estadual;AP;NORTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Superior completo;DISTRITO FEDERAL;Deputado Distrital;DF;CENTRO-OESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Superior completo;GOIÁS;Deputado Estadual;GO;CENTRO-OESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Superior completo;GOIÁS;Governador;GO;CENTRO-OESTE;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Superior completo;MINAS GERAIS;Deputado Estadual;MG;SUDESTE;1;2,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Superior completo;SERGIPE;Deputado Federal;SE;NORDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Superior completo;SÃO PAULO;Deputado Estadual;SP;SUDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Superior completo;SÃO PAULO;Deputado Federal;SP;SUDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;35 a 39 anos;Masculino;Superior incompleto;GOIÁS;Deputado Estadual;GO;CENTRO-OESTE;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
2018;Amarela;40 a 44 anos;Feminino;Ensino Fundamental incompleto;SERGIPE;1º Suplente;SE;NORDESTE;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
2018;Amarela;40 a 44 anos;Feminino;Ensino Médio completo;CEARÁ;Deputado Federal;CE;NORDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;40 a 44 anos;Feminino;Ensino Médio completo;MINAS GERAIS;Deputado Estadual;MG;SUDESTE;1;1,0;0,0;0,0;0,0;2023-05-14 11:01:32
2018;Amarela;40 a 44 anos;Feminino;Ensino Médio completo;MINAS GERAIS;Deputado Federal;MG;SUDESTE;1;2,0;0,0;0,0;2,0;2023-05-14 11:01:32
2018;Amarela;40 a 44 anos;Feminino;Ensino Médio completo;SÃO PAULO;Deputado Federal;SP;SUDESTE;1;1,0;0,0;0,0;1,0;2023-05-14 11:01:32
