Ano de eleição;Cargo;Cor/raça;Detalhe da situação de candidatura;Faixa etária;Gênero;Grau de instrução;Região;Situação de candidatura;Situação de totalização;Turno;UF;Quantidade de candidatos;Quantidade de candidatos eleitos;Quantidade de candidatos para o 2º turno;Quantidade de candidatos não eleitos;Quantidade de candidatos suplentes;Quantidade de candidatos não informados;Data de carga
2022;1º Suplente;Branca;Cancelado;70 a 74 anos;Masculino;Ensino Médio completo;SUL;Inapto;#NULO#;1;SC;1,0;0,0;0,0;0,0;0,0;1,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;35 a 39 anos;Feminino;Superior completo;SUDESTE;Apto;Não eleito;1;MG;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;35 a 39 anos;Feminino;Superior completo;SUL;Apto;Não eleito;1;SC;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Ensino Médio completo;NORTE;Apto;Não eleito;1;AP;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;NORDESTE;Apto;Eleito;1;BA;1,0;1,0;0,0;0,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;NORTE;Apto;Não eleito;1;RO;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;35 a 39 anos;Masculino;Superior completo;SUDESTE;Apto;Não eleito;1;SP;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;40 a 44 anos;Feminino;Ensino Médio completo;CENTRO-OESTE;Apto;Não eleito;1;DF;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;40 a 44 anos;Feminino;Superior completo;SUDESTE;Apto;Não eleito;1;RJ;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;40 a 44 anos;Feminino;Superior completo;SUL;Apto;Não eleito;1;PR;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;40 a 44 anos;Feminino;Superior completo;SUL;Apto;Não eleito;1;RS;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;40 a 44 anos;Feminino;Superior incompleto;SUL;Apto;Eleito;1;RS;1,0;1,0;0,0;0,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior completo;SUL;Apto;Eleito;1;PR;1,0;1,0;0,0;0,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior completo;SUL;Apto;Não eleito;1;SC;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior incompleto;NORDESTE;Apto;Não eleito;1;PB;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;40 a 44 anos;Masculino;Superior incompleto;SUDESTE;Apto;Não eleito;1;ES;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Feminino;Superior completo;NORDESTE;Apto;Eleito;1;CE;1,0;1,0;0,0;0,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Feminino;Superior completo;NORDESTE;Apto;Não eleito;1;CE;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Feminino;Superior completo;NORDESTE;Apto;Não eleito;1;PB;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Feminino;Superior completo;SUDESTE;Apto;Não eleito;1;SP;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Masculino;Ensino Médio completo;CENTRO-OESTE;Apto;Não eleito;1;GO;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Masculino;Ensino Médio completo;NORDESTE;Apto;Não eleito;1;AL;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Masculino;Ensino Médio completo;NORTE;Apto;Eleito;1;AP;1,0;1,0;0,0;0,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Masculino;Ensino Médio incompleto;SUDESTE;Apto;Eleito;1;MG;1,0;1,0;0,0;0,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Masculino;Superior completo;NORDESTE;Apto;Não eleito;1;BA;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Masculino;Superior completo;NORDESTE;Apto;Não eleito;1;PB;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Masculino;Superior completo;NORTE;Apto;Não eleito;1;AC;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Masculino;Superior completo;NORTE;Apto;Não eleito;1;RO;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Masculino;Superior completo;NORTE;Apto;Não eleito;1;RR;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Masculino;Superior completo;NORTE;Apto;Não eleito;1;TO;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Masculino;Superior completo;SUDESTE;Apto;Não eleito;1;RJ;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Masculino;Superior completo;SUDESTE;Apto;Não eleito;1;SP;2,0;0,0;0,0;2,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;45 a 49 anos;Masculino;Superior completo;SUL;Apto;Não eleito;1;PR;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Feminino;Ensino Médio completo;SUDESTE;Apto;Não eleito;1;ES;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Feminino;Superior completo;SUL;Apto;Não eleito;1;PR;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Ensino Médio completo;NORDESTE;Apto;Não eleito;1;SE;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Ensino Médio completo;SUL;Apto;Não eleito;1;PR;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Ensino Médio completo;SUL;Apto;Não eleito;1;RS;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Ensino Médio completo;SUL;Apto;Não eleito;1;SC;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Lê e escreve;NORTE;Apto;Não eleito;1;RR;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Superior completo;CENTRO-OESTE;Apto;Não eleito;1;DF;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Superior completo;CENTRO-OESTE;Apto;Não eleito;1;GO;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Superior completo;NORDESTE;Apto;Não eleito;1;PE;2,0;0,0;0,0;2,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Superior completo;NORDESTE;Apto;Não eleito;1;RN;3,0;0,0;0,0;3,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Superior completo;NORDESTE;Apto;Não eleito;1;SE;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Superior completo;NORTE;Apto;Não eleito;1;RR;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Superior completo;NORTE;Apto;Não eleito;1;TO;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Superior completo;SUDESTE;Apto;Não eleito;1;MG;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Superior completo;SUL;Apto;Não eleito;1;PR;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;50 a 54 anos;Masculino;Superior incompleto;SUDESTE;Apto;Eleito;1;RJ;1,0;1,0;0,0;0,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;55 a 59 anos;Feminino;Superior completo;NORDESTE;Apto;Não eleito;1;RN;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;55 a 59 anos;Feminino;Superior completo;NORTE;Apto;Eleito;1;TO;1,0;1,0;0,0;0,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;55 a 59 anos;Feminino;Superior completo;SUDESTE;Apto;Não eleito;1;SP;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;55 a 59 anos;Feminino;Superior completo;SUL;Apto;Não eleito;1;SC;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;55 a 59 anos;Masculino;Ensino Fundamental completo;SUL;Apto;Não eleito;1;PR;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;55 a 59 anos;Masculino;Ensino Fundamental incompleto;NORTE;Apto;Não eleito;1;PA;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
2022;1º Suplente;Branca;Deferido;55 a 59 anos;Masculino;Ensino Médio completo;NORTE;Apto;Não eleito;1;RO;1,0;0,0;0,0;1,0;0,0;0,0;2023-12-06 18:31:05
